zcta5,stab,zipname,pop10
ZIP census tabulation area,State abbreviation,ZCTA name,Population (2010)
2639,MA,"Dennis Port, MA",2875
2641,MA,"East Dennis, MA",532
2642,MA,"Eastham, MA",4937
2643,MA,"East Orleans, MA (PO Boxes)",26
2644,MA,"Forestdale, MA",3955
2645,MA,"East Harwich, MA",9663
2646,MA,"Harwich Port, MA",1676
2647,MA,"Barnstable Town, MA",129
2648,MA,"Barnstable Town, MA",7301
2649,MA,"Mashpee, MA",14006
2650,MA,"North Chatham, MA",848
2651,MA,"North Eastham, MA (PO Boxes)",16
2652,MA,"North Truro, MA (PO Boxes)",1175
2653,MA,"Orleans, MA",5911
2655,MA,"Barnstable Town, MA",3518
2657,MA,"Provincetown, MA",2942
2659,MA,"South Chatham, MA",1108
2660,MA,"South Dennis, MA",6261
2663,MA,"South Wellfleet, MA (PO Boxes)",173
2664,MA,"South Yarmouth, MA",9371
2666,MA,"Truro, MA (PO Boxes)",828
2667,MA,"Wellfleet, MA",2580
2668,MA,"Barnstable Town, MA",3278
2669,MA,"West Chatham, MA",285
2670,MA,"West Dennis, MA",1307
2671,MA,"Northwest Harwich, MA",1023
2672,MA,"Barnstable Town, MA",180
2673,MA,"West Yarmouth, MA",8402
2675,MA,"Yarmouth Port, MA",6577
2702,MA,"Assonet, MA",4125
2703,MA,"Attleboro, MA",43593
2713,MA,"Cuttyhunk, MA (PO Boxes)",52
2715,MA,"Dighton, MA",3123
2717,MA,"East Freetown, MA",4745
2718,MA,"Taunton, MA",6655
2719,MA,"Fairhaven, MA",15873
2720,MA,"Fall River, MA",30287
2721,MA,"Fall River, MA",26290
2723,MA,"Fall River, MA",14767
2724,MA,"Fall River, MA",16908
2725,MA,"Somerset, MA",2631
2726,MA,"Somerset, MA",15534
2738,MA,"Marion, MA",4907
2739,MA,"Mattapoisett, MA",6045
2740,MA,"New Bedford, MA",43087
2743,MA,"Acushnet, MA",10307
2744,MA,"New Bedford, MA",11900
2745,MA,"New Bedford, MA",24576
2746,MA,"New Bedford, MA",15342
2747,MA,"North Dartmouth, MA",22927
2748,MA,"South Dartmouth, MA",11442
2760,MA,"North Attleboro, MA",26739
2762,MA,"Plainville, MA",8264
2763,MA,"Attleboro Falls, MA",1973
2764,MA,"North Dighton, MA",3988
2766,MA,"Norton, MA",19031
2767,MA,"Raynham, MA",13566
2769,MA,"Rehoboth, MA",11608
2770,MA,"Rochester, MA",5093
2771,MA,"Seekonk, MA",13708
2777,MA,"Swansea, MA",15840
2779,MA,"Berkley, MA",6411
2780,MA,"Taunton, MA",49036
2790,MA,"Westport, MA",15717
2791,MA,"Westport Point, MA (PO Boxes)",246
2802,RI,"Albion, RI (PO Boxes)",786
2804,RI,"Ashaway, RI",2607
2806,RI,"Barrington, RI",16310
2807,RI,"Block Island, RI (PO Boxes)",1051
2808,RI,"Bradford, RI",2401
2809,RI,"Bristol, RI",22938
2812,RI,"Carolina, RI",1497
2813,RI,"Charlestown, RI",7831
2814,RI,"Chepachet, RI",7496
2815,RI,"Clayville, RI",278
2816,RI,"Coventry, RI",32611
2817,RI,"West Greenwich, RI",6135
2818,RI,"East Greenwich, RI",18082
2822,RI,"Exeter, RI",6111
2825,RI,"Foster, RI",5377
2826,RI,"Glendale, RI (PO Boxes)",791
2827,RI,"Greene, RI",2172
2828,RI,"Greenville, RI",7704
2830,RI,"Harrisville, RI",5976
2831,RI,"Hope, RI",3515
2832,RI,"Hope Valley, RI",4608
2833,RI,"Hopkinton, RI",784
2835,RI,"Jamestown, RI",5405
2836,RI,"Kenyon, RI",136
2837,RI,"Little Compton, RI",3492
2838,RI,"Manville, RI",3400
2839,RI,"Mapleville, RI",1902
2840,RI,"Newport, RI",23335
2841,RI,"Newport, RI",1392
2842,RI,"Newport East, RI",16095
2852,RI,"North Kingstown, RI",22551
2857,RI,"North Scituate, RI",8412
2858,RI,"Oakland, RI",570
2859,RI,"Pascoag, RI",6738
2860,RI,"Pawtucket, RI",45199
2861,MA,"Pawtucket, RI",14
2861,RI,"Pawtucket, RI",26164
2863,RI,"Central Falls, RI",19385
2864,RI,"Cumberland, RI",33396
2865,RI,"Lincoln, RI",16951
2871,RI,"Portsmouth, RI",17171
2872,RI,"Prudence Island, RI",218
2873,RI,"Rockville, RI (PO Boxes)",235
2874,RI,"Saunderstown, RI",5860
2875,RI,"Shannock, RI",307
2876,RI,"Slatersville, RI",430
2878,RI,"Tiverton, RI",15780
2879,RI,"Wakefield, RI",20371
2881,RI,"Kingston, RI",7841
2882,RI,"Narragansett, RI",14184
2885,RI,"Warren, RI",10627
2886,RI,"Warwick, RI",29269
2888,RI,"Warwick, RI",19912
2889,RI,"Warwick, RI",28217
2891,RI,"Westerly, RI",21198
2892,RI,"West Kingston, RI",4988
2893,RI,"West Warwick, RI",29630
2894,RI,"Wood River Junction, RI",722
2895,RI,"Woonsocket, RI",41186
2896,RI,"North Smithfield, RI",11537
2898,RI,"Wyoming, RI",1696
2903,RI,"Providence, RI",10780
2904,RI,"Providence, RI",29359
2905,RI,"Providence, RI",25223
2906,RI,"Providence, RI",28387
2907,RI,"Providence, RI",27445
2908,RI,"Providence, RI",37467
2909,RI,"Providence, RI",43540
2910,RI,"Cranston, RI",21000
2911,RI,"North Providence, RI",15574
2912,RI,"Providence, RI",1370
2914,RI,"East Providence, RI",21963
2915,RI,"East Providence, RI",16897
2916,RI,"East Providence, RI",8139
2917,RI,"Smithfield, RI",13762
2919,RI,"Johnston, RI",28790
2920,RI,"Cranston, RI",37547
2921,RI,"Cranston, RI",12361
3031,NH,"Amherst, NH",11247
3032,NH,"Auburn, NH",4953
3033,NH,"Brookline, NH",4987
3034,NH,"Candia, NH",3970
3036,NH,"Chester, NH",4782
3037,NH,"Deerfield, NH",4219
3038,NH,"Derry, NH",33269
3042,NH,"Epping, NH",6341
3043,NH,"Francestown, NH",1573
3044,NH,"Fremont, NH",4263
3045,NH,"Goffstown, NH",13560
3046,NH,"Dunbarton, NH",2758
3047,NH,"Greenfield, NH",1767
3048,NH,"Greenville, NH",3426
3049,NH,"Hollis, NH",7688
3051,NH,"Hudson, NH",24480
3052,NH,"Litchfield, NH",8258
3053,NH,"Londonderry, NH",23957
3054,NH,"Merrimack, NH",25477
3055,NH,"Milford, NH",15086
3057,NH,"Mont Vernon, NH",2500
3060,NH,"Nashua, NH",29357
3062,NH,"Nashua, NH",26694
3063,NH,"Nashua, NH",16216
3064,NH,"Nashua, NH",14227
3070,NH,"New Boston, NH",5254
3071,NH,"New Ipswich, NH",5109
3076,NH,"Pelham, NH",12897
3077,NH,"Raymond, NH",10155
3079,NH,"Salem, NH",28776
3082,NH,"Lyndeborough, NH",1615
3084,NH,"Temple, NH",1366
3086,NH,"Wilton, NH",3728
3087,NH,"Windham, NH",13592
3101,NH,"Manchester, NH",3049
3102,NH,"Manchester, NH",31096
3103,NH,"Manchester, NH",36476
3104,NH,"Manchester, NH",32798
3106,NH,"South Hooksett, NH",13374
3109,NH,"Manchester, NH",10314
3110,NH,"Bedford, NH",21203
3215,NH,"Waterville Valley, NH",247
3216,NH,"Andover, NH",2159
3217,NH,"Ashland, NH",2076
3218,NH,"Barnstead, NH (PO Boxes)",960
3220,NH,"Belmont, NH",7430
3221,NH,"Bradford, NH",2091
3222,NH,"Bristol, NH",5353
3223,NH,"Campton, NH",3427
3224,NH,"Canterbury, NH",2318
3225,NH,"Center Barnstead, NH",3660
3226,NH,"Center Harbor, NH",1117
3227,NH,"Center Sandwich, NH",925
3229,NH,"Contoocook, NH",5589
3230,NH,"Danbury, NH",1231
3231,NH,"East Andover, NH (PO Boxes)",202
3233,NH,"Elkins, NH (PO Boxes)",115
3234,NH,"Epsom, NH",4572
3235,NH,"Franklin, NH",8562
3237,NH,"Gilmanton, NH",2254
3238,NH,"Glencliff, NH (PO Boxes)",75
3240,NH,"Grafton, NH",1340
3241,NH,"Hebron, NH",876
3242,NH,"Henniker, NH",4836
3243,NH,"Hill, NH",1085
3244,NH,"Hillsborough, NH",8092
3245,NH,"Holderness, NH (PO Boxes)",2027
3246,NH,"Laconia, NH",15963
3249,NH,"Gilford, NH",7113
3251,NH,"Lincoln, NH",1662
3253,NH,"Meredith, NH",6219
3254,NH,"Moultonborough, NH",4049
3255,NH,"Newbury, NH",2090
3256,NH,"New Hampton, NH",2169
3257,NH,"New London, NH",4455
3258,NH,"Chichester, NH",2517
3259,NH,"North Sandwich, NH",368
3260,NH,"North Sutton, NH (PO Boxes)",809
3261,NH,"Northwood, NH",4246
3262,NH,"North Woodstock, NH",1231
3263,NH,"Pittsfield, NH",4114
3264,NH,"Plymouth, NH",7468
3266,NH,"Rumney, NH",2163
3268,NH,"Salisbury, NH",1272
3269,NH,"Sanbornton, NH",2966
3273,NH,"South Sutton, NH (PO Boxes)",312
3275,NH,"Suncook, NH",11437
3276,NH,"Tilton, NH",8324
3278,NH,"Warner, NH",2952
3279,NH,"Warren, NH",829
3280,NH,"Washington, NH",1123
3281,NH,"Weare, NH",8785
3282,NH,"Wentworth, NH",902
3284,NH,"Springfield, NH",999
3285,NH,"Thornton, NH",2479
3287,NH,"Wilmot, NH",1295
3290,NH,"Nottingham, NH",4731
3291,NH,"West Nottingham, NH",39
3293,NH,"Woodstock, NH",143
3301,NH,"Concord, NH",33008
3303,NH,"Concord, NH",15524
3304,NH,"Bow, NH",7519
3307,NH,"Loudon, NH",5334
3431,NH,"Keene, NH",25280
3440,NH,"Antrim, NH",2692
3441,NH,"Ashuelot, NH",395
3442,NH,"Bennington, NH",1491
3443,NH,"Chesterfield, NH",742
3444,NH,"Dublin, NH (PO Boxes)",1590
3445,NH,"Sullivan, NH",691
3446,NH,"Swanzey, NH",6285
3447,NH,"Fitzwilliam, NH",2422
3448,NH,"Gilsum, NH",811
3449,NH,"Hancock, NH",1654
3450,NH,"Harrisville, NH",961
3451,NH,"Hinsdale, NH",4077
3452,NH,"Jaffrey, NH",5457
3455,NH,"Marlborough, NH",2086
3456,NH,"Marlow, NH",742
